comments,label
外观不错，屏幕很大，看得很舒服，分辨率是1280X800的。屏幕下方确实有华硕LOGO，大家可以方心。室温30度下上上网，CPU、GPU、硬盘的温度大概是50、50、45左右。9650m GT的显卡在笔记本中算很不错了。硬盘是希捷5400.5，单碟250G，性能不错。总体来说，机器性价比是挺不错了。,1
支持蒙牛，多一份 谢谢，支持?不想断奶，哈哈哈ps.lucky,1
以后还是少买这样的书，名人效应啊,0
"感觉手机质量不是很好，十一新买的，因为搞促销。回家去，下午就死机了，开机重启后正常使用。现在用机快2个月，中间出现过几次死机情况,都是重新开机后正常使用。感觉通话声音比较小，还有杂音，有时候根本听不清对方说什么，拿去KF被告之，这个不算质量问题，不能换也不管修",0
外观很有档次，如果有红色的话女生用刚好，很漂亮，。。同价位中配置高，很实惠了。,1
"USB接口只有3个，而且有2个距离太近，不实用。鼠标，键盘，U盘，移动硬盘，电子密匙。很需要多一些USB接口。音频接口在前面，有些不好，放在什么电脑架子就给挡住了。电池续航一般,有2个多小时。",0
STNLCD屏幕，效果不好。无电话薄分组功能，不实用！没有短信群发功能，不方便！铃声效果不好，而且有破音现象!内置铃声单调，不好听，又无自编铃声；也不支持JAVA和数据接收，无法下载铃声！,0
风扇声音有点大啊，晚上夜深的时候太炒了。和台式有的一拼。。。,0
发货奇慢无比，我3。1下的订单，4号发货，现在过了有40天了，还没收到书，下次不在这里卖书了。上回买的《炒股就那么几招》也是过了很久才收到书。,0
书评说很好，小侄女没有看，连里面花花绿绿的图也没有吸引住她，不知道是小孩子不爱学习，还是书不适合中国小朋友，汗！！！！,0
连酸奶也是天杀的蒙牛……霸气！,1
前台服务太慢，前台男生的态度极差，极差；电梯本来只有两部，却始终都有一个在维修，上下电梯，每层都停留，有时甚至等两次才坐得上；房间卫生不好，地面好像不做清洁，卫生间不干净，毛巾好像抹布一样，还有怪味；水杯都是塑料的；打电话要吹风机和插座，竟然让客人自己去前台拿；淋浴喷头漏水严重，打电话告知前台，竟然派保安充当维修工上来房间察看。锦江之星，再也不想住啦！,0
经过几次在保定的住宿和其他酒店的比较，发现中银大厦应该是保定最好的酒店了。反正对我来说只要去保定，现在这里就是我的根据地了。比所谓的五星酒店秀兰饭店要好。,1
还是很不错的，没什么毛病。用起来也不错。外观和图片基本没什么出入。,1
c，性价比相当的高。买回来直接上Vista系统非常完美，没有驱动问题。,1
穿越的书我买了好几套了  在当当网上看见《蔓蔓清萝》的评论还多好了 就买来看看  看了文章后真的让人有些失望 写得不是那么生动  感觉太简单化了  反而我比较喜欢《步步惊心》这本书 也是穿越的  o(∩_∩)o...,0
蒙牛好！！,1
是我读高中的时候，美术老师推荐看的书，其实他有一个系列。我还在慢慢收集呢。因为已经没有出版很久了。这本书，适合那些对社会问题有看法，或者你是对人类行为、人类发展感兴趣的看。一开始，吸引我看他的书，是老师在课堂上说的一句，为什么两个感情好的人会越长越像，连某些小动作都一样呢？ 作者的书就有写这个问题。其实，很多我们既定的一些理所当然的行为，在书里面都找到一定的解释。,1
"貌似风扇声音比较大,还有电源接口在机身后面,个人比较喜欢在侧面的.",0
破书啊呸，真是一本破书，孩子看了直接吓哭了。大卫画的跟骷髅一样。,0
酒店比较旧，靠近机场，能听到很大的噪音。空调也不开，关上窗屋内的气味让人头晕，开窗基本被吵的睡不着而且早餐非常差，简直就是没东西吃。,0
"进入遥控竟然会出现信号狂降至0.MP3播放太不稳定电流噪音大不说,打开划盖还会干扰播放,想不通.划盖也不太可靠缝太大着实让我担心一阵子.果然前不久我刚对它习以为常LCD排线就出问题了,屏幕一片混乱.电池有880照理不少,可就是用不了一天半,有时一天就没电了,照像实在费电一用都电池撑不了一天.想不通.维修部的人说红外线只能传电话簿,可我传电话簿也没几次成功.",0
有几张图像不清晰，真是不敢想象！,0
无铃声！内屏颜色为单色！话机短信息容量少，只有20条！不支持短信息群组发送功能！不支持数据传真接收功能！不支持自动开关机！！,0
服务很差！！！服务员的态度很不好！环境也一般,0
买了给老爸看，好好保健，身体重要,0
需要该Bios中的设置，装XP比较麻烦 驱动盘不能在XP系统中使用，比较麻烦,0
我们于11月初入住该酒店450元/天房间。感觉还行。就是客房把一次性睡衣和不收费睡衣放在一起，外包装一样。一次性睡衣收费98元，只要开封即视为使用。问题在于2种睡衣放在一起，且没有明显标示。而且该酒店没有窗户，室内光线也不好，如果没有把2个睡衣拿起来仔细分辨很容易就随便拿一个算了，把一次性睡衣撕开包装口。作为服务行业的酒店是不是该提供鲜明的收费标识说明，以免客户发生错误？,0
不是每个人在成长的时候都有一个美好的环境，指引你走向健康、成熟的心智旅程。也许一些坎坷、挫折在心里留下的影子并未随时间流逝，而你又无法自己解脱。苦苦寻求外界的帮助又迟迟得不到要领。某年某月的某一天，无意中翻到一本书，那似曾相识的场景，那些捅破多年来心里隔阂的窗户纸的文字，带着感激的心情用心浏览一页页解惑的篇章。感恩的心，感谢命运，感谢有你，让我有勇气做我自己...,1
哎我现在连伊利蒙牛也都不敢喝了。。。,0
看上去不错，还没装。,1
稻盛和夫认为他的成功并不是他个人的成功，而是造物主给与他这个机会，因为从善而开启心智的智慧，因为从善而得到宇宙的力量。试想，我们常常把眼前的成功都当成自己能力而沾沾自喜，狂妄自大，而忽略或否认了其他的力量。用外在的成功来证明自己，其实是内心缺乏力量，恰恰说明缺乏自信。在成功时更需要谦卑 。愿意放下自己的欲望，才能真正从“利他”的角度出发。稻盛和夫用他的真心实修来引导我们开悟！,1
没多久就又降了100元，没有num lock显示。稍稍有点点重，比想象中。那个那个存储的宣传太扯淡了，我找了好半天那10G在哪，结果发现是在网上。我怒，这个算虚假宣传不？,0
样式方面其实不太满意，不好看。另外一直没注意这个本本不是全键盘。显卡性能不如想像的好。 键盘好像不太平，按下去的时候觉得整个键盘板都在动。做工方面也不太精，好多地方都有缝隙，和我的HP比做工确实差些。,0
随机没有附带驱动光盘，装系统的时候还要自己去惠普的官网下载驱动，比较麻烦,0
酒店里的服务态度超差，餐厅里的服务员的素质就更差，当时我一个人去吃饭，看见菜单上写的酸菜鱼是8块，当时还告诉了服务员我就一个人，心想一个人正好，又点了其他的菜，谁知道付钱的时候告诉我酸菜鱼是35元的，钱倒是其次的，明知道我一个人，还一个劲鼓吹他们烧的多好吃，郁闷！本来准备住三天的，第二天一早就退了房间，超烂的酒店！,0
这款手提不错，就是系统不能分区，手提到手使用了还原键，现在黑屏了，怎么办啊？,1
1.太重，单机不算外接电源7斤多，如果加上包包和所有配件的话近10斤了。 2.系统没法用，有时会死机。,0
"显卡显存大,其它都一般,屏幕也还行,试玩了侠盗飞车4感觉画面还不错. 正在下载极品飞车12,到时候看一下测试结果如何.",1
不实用，电池不耐用，用不了两个天,0
我不明白，为什么会有这么多的人追捧这本书呢，我也是受了崇众思想的影响，一口气买了好多本，用来自己看，用来送朋友。可是，当我看了一半以后，就受不了了。整个书就是一东拼西凑的大杂烩，从现在流行的各种养生书籍，或是哪里抄录一些所谓的养颜宝典，再加上作者卖力的炫耀自己的所谓幸福，是在没有什么可读性。当然，作者还是很聪明的，知道，什么是卖点，知道，已经老了的和快要老了的女人的心理。或许就根本不是什么31岁美女写的，搞不好就是一胡子拉碴的邋遢男编辑的作品呢,0
"很漂亮，一见钟情,而且待机时间超长",1
以为是为孩子们准备的书，即使有些教育父母怎么给孩子读书也不错啊，没有想到，居然就是一本说教的书，很遗憾，下次会好好理解简介导购的意图，不知道能不能退货？？？,0
期待2013 魏晨在蒙牛酸酸乳音乐风云榜作主持人 很期待,1
买了上册，看完了，可是怎么也找不到买下册的理由。,0
图画凌乱，孩子不喜欢。不适合3岁多的孩子,0
3岁的小孩对里面的情节，图片都不怎么感兴趣,0
"很多：我的机器出现了三次‘个别人’才能出现的问题——开机便因为短信功能而死机……然后就属于瘫痪状态,其次，普遍的问题：1.滑盖不稳定，易松动,2.反映很慢……,3.电池难以负荷如此大的屏幕；一天一冲,4.一键通快捷设置不科学，打开滑盖之时，容易触碰。5.输入法不够方便，还不如6020等老款机型",0
最初给我的270的大床间是临街的，要命的是窗户还是坏的，根本没办法隔音，所以要求换到了不临街的豪华标间，房间有味，所幸得是只需要住一个晚上，早餐另收了10元，结账时前台非常不专业，发票自己随手搞到地上了，还一个劲问是不是拿给我了，印象差,0
据说是太仓最好的酒店，作为一个5星级的酒店让我很失望。房间小而简单并且陈旧，最多也只是个3星水平；服务只是在入住的时候那个前台员工不错，其他就太差了：进出酒店时酒店员工和门童都是视而不见，没有任何表情更不要说是问候了，一次回到酒店时，前面就是一个穿黑色制服的女员工也往电梯间走去，我就跟在后面，当到了电梯间时她管自己转弯上了楼梯，也不给我按一下电梯--当时我可是两手拎着东西而她明明知道我跟在她后面。不过酒店的早餐还是可以的。估计下次不会去住了。,0
文章中类似口语叙述，列举的例子太短而且没有说服力，像是在为了证明自己的观点在捏造事实一样。,0
屏幕显示的色彩比较丰富，支持WAP、GPRS，支持录音和来电防火墙，电池使用时间也比较长！,1
"我家宝贝男孩子,虚四岁,这一套系列丛书孩子不怎么喜欢.可能是东西方文化差异，故事情节做为大人的我，感觉也有点接受不了。比如长牙的小鸡",0
好评,1
写的确实不好。没有文采。和外企也没有多大关系。真不知这本书怎么这么多评论。忽悠人呀。呵呵。,0
分量够轻了，13寸的屏幕刚刚好，再小看得就不舒服了，外观不错，性能过得去，加1G内存用上两三年应该没有问题。,1
这个酒店的所有设施是在是太陈旧了。早餐简直没法下咽。洗澡水小得没法洗澡。房间里尽然没有写字台，害我要座在自己的行李箱上，趴在行李架上上网。本来我想算了就住两天，将就一下吧。可是晚上看电视的时候尽然有一只大老鼠在我面前跑过，吓死我了。没办法第二天一早换酒店。,0
自带了一堆鸡肋软件。配置还算均衡，虽然是sis芯片组---我怀疑这就是热源。。,1
并没有评论说的那么好．很一般，文字的感觉不好，没有反映出那个年代独有的美感．,0
这本书集合了很多英语学习的方法，而不是单单的一些比较旧比较传统的方法，他告诉读者怎样作为一门语言去运用，怎样了解英语作为第一语言国家的丰富的情况。是英语学习者不可多得的好伙伴。in use就很好的说明了是在叫我们怎样去用它，怎么去survive于foreign country。这是是非重要的。也是学习英语的最终目的。相当不错的。赞赞赞！！！！！,1
鄙视蒙牛！再也不买蒙牛任何产品！！！！ 人渣！ 转发微博,0
"完全没有必要预装Linux，毕竟多数使用者还是习惯Windows,在Dos环境下更方便.....",0
简直和招待所没有什么两样，下次再也不去了，价格还贵，携程怎么推荐这样的酒店糊弄我们。。。。。。,0
港式的语言。确实有些难懂。不过基本还是看得懂。不过我更喜欢林夕的《曾经》。文学性更强,1
本来是订的3个晚上，住了2个晚上实在受不了了，我到贵阳的第一个晚上是住在锦江鲜花酒店，第二天委托携程帮我定3个晚上在瑞金酒店，电视比我11年前结婚的电视还破，服务员素质太差了，连基本的礼貌也没有，好象我上辈子欠她们什么一样；敲了一下门马上就开门，我还在房间里面呢，结帐的时候面无?,0
缺点暂时发现了这么一些： 钢琴烤漆容易磨花 镜面屏幕反光严重 扣盖感觉不够严实 风扇声音比较烦人 装机寻找驱动麻烦 升级内存过程痛苦,0
电源哧哧乱响，不过已经找LENOVO换了个！上下壳吻合度差了点，左托有点松！换内存不是很方便，拆的时候差点把触控板的连接线扯下来！搞不清楚为什么不能用螺丝机械固定，非得用个双面胶粘！模具只能说一般了！,0
 牛奶，永不喝蒙牛！@蒙牛乳业,0
看了那么多成功的女性推荐这本书，我就想赶在自己二十多岁时看看，期待也看出个“获益良多”。可惜，当我看到一半（肯能还未到一半），我就跳着翻了，实在没心思一字一句认认真真地读了。因为那些所谓了例子及其所要说明的，不都是一些最基本的道理和一个正常人应该具备的素养吗？二十多岁的女人至于要人教这些吗？如果谁的答案是“是”，那她的人生我想也不过如此了。,0
地方恶偏，早餐可以比美招待所，服务员素质巨差，坚决不去第二趟,0
我刚买了袋高钙牛奶 还是蒙牛的 喝了 哎 有点后悔,0
我这单买了600多元的书，很快收到货了，可是我的五套小熊宝宝根本没发货，是漏发。两周过去了，还没处理呢。失望！,0
"有大把的时间,没事干;有大把的钱,没东西买,那就买一本吧,最起码能有个心理安慰,觉得有了它,就能掌握自己的20岁,规划自己的一生了。其实,看过之后,只会觉得,象是妈妈在你耳边絮叨了一番,什么用都没有,扔下了,反而清净了.",0
恶心的蒙牛,0
轻便，全球联保，宽电压范围适用。自带摄像头，随机软件比较贴心。,1
一般一般一般一般一般一般一般一般一般,0
自打买回来以后，六岁的儿子就天天抱着看。书中可爱的动物造型，别致的小贴纸，符合圣经原则的教导，都让他感觉很亲切，很信赖。教会的主日学也可以购买。即使是不信基督教的朋友，让孩子看看这样的书，可以帮助培养孩子养成良好的品德。这本书是西方人写的，由此也可见西方人的价值观——以《圣经》为依据。西方文化的源头，到现在还一代一代的传承，其中说明了什么问题，值得中国家长深思。,1
去死吧？蒙你妈逼牛 自生自灭吧蒙牛！蒙牛很恶心蒙牛你好，蒙牛再见 怎么意思？你们还把人分为三六九等了？那我们也把你们的企业分个三六九等吧，看不起大陆中国人吗？那不买行不行？蒙牛88,0
房间很好，位置离地铁站很近。服务也很好。价钱公道。 大厅经理，副理 都很好。,1
这个宾馆比较陈旧了，特价的房间也很一般。总体来说一般,1
所谓的携程四星，电梯又小又脏，从电梯到楼道到房间充满低档招待所的味道，半夜2点居然有自称服务员（女）的人敲门，不会再住这家酒店了，对携程的推荐也表示怀疑！,0
用了半个月了，到目前为止还没发现什么不良状况，总体感觉还不错。同等配置下，这个价格真的算是实惠了吧...,1
"发热大，无麦克风，6346c音质,只能说它能发出声音而已,仅此而已。6346c的声音又小,还有破音。",0
已经贴完了，又给小区的妈妈买了一套。最值得推荐,1
反应慢特别是上网的时候!不支持MP3!不能录象和视频!,0
做工挺好，拿着也很气派。26万色的彩屏感觉不错，画面柔美细腻，完全没有粗糙的颗粒感。自带的数码相机真不错，支持10倍变焦。照出来的照片效果不错，对各种色彩的还原比较准确，完全没有杂边。都快赶上真正的数码相机了。,1
这本书真是象介绍所说的那样开本小，内容可不少。实例多，效果不打折。操作细，做事不含糊。知识全，覆盖多领域。便携带，随时学用查。价格低，为读者服务。是最适合初学者看的一本有价值、性价比高的好书，不仅大人能看懂，也适合孩子和家人看。其实，这本书真正做到了易学、易懂、易用的地步，编者的设计让百姓佩服！他著作的书就好比老师手把手教一样实用，值得推荐！！！！,1
当我们看到别的孩子的优秀之处时，往往会很羡慕，有时还会忍不住责备孩子：“看人家”，可是我们有没有想到他的妈妈在背后付出的努力。看了这本书，对自己的确很有帮助，许多书里提到的事例，其实很多都发生在我们和孩子的身上，不同的处理方式对孩子带来的结果有很大的差异。从书里，改变了我的许多想法，也是我对自己的一些育儿思想得到的肯定。很好的一本书。,1
这本书把职场的各种规则用写一个人物的写作方式给体现得淋漓尽致。难怪他是目前最热销的图书之一。值得一看。,0
喜欢蒙牛核桃牛奶～我得买去，除酸奶外唯一喜欢的。,1
待机时间长，声音够大。信号不错。,1
"春节去住了一晚,进门就像到了一个大市场,晚上快12:00了,竟然还人声鼎沸,感觉很闹.房间进去后感觉还可以,不过卫生间很差,淋浴没有门,撒了一屋的水.整体感觉就是3星标准.第2天换去香格里拉了.以后也不会再去!",0
从头到尾性压抑，大量篇幅放在重复而毫无变化的心理活动上，意义不大。本来很简单的故事，写了这么长却还是显得很单薄，人物形象平的像一张纸，可是这样一本书受到如此众人追捧却很有点意思，难道现在中国人对“纯爱”渴望到这个程度？真压抑。,0
通过无意中在网上看到这本书，到购买到阅读．让我也分享了这个至大的秘密，发自内心的感到幸福和感恩．很感谢有机缘能够读到这本书，让我明白很多真相与道理．让我比从前更加清醒．更加有能量和信心．更意识到了读好书对我的人生是多么的重要（之前对读书方面并不明了，也未尝过这种读好书的滋味和意义），所以真心推荐大家精读细读反复研读这本书．命运定会因我们的改变而改变．我们一起加油．,1
塑料味重，机身较薄，用到现在有过一次蓝屏！不知道什么原因，观察中。,0
牌子够老，够响亮，冲着牌子去的，结果让人很伤心！唉。。。。。。。,1
希望是捐助3万美元物资，最好是蒙牛牛奶,1
我都还没收到书。2月9号寄出的。今天已经21号了怎么还收不到,0
很一般啊，没有想象中的好，内容有些肤浅，没什么特别的，特别是关于中医养生的部分，有点失望，不过版面印刷质量还是可以的，文字大小看起来也很舒服，仅此而已！,0
也许是说好的人太多了，所以对这本书的期望值过高，拿到手里看时，觉得书写的很肤浅，很没有意思，有半天时间就能看完了。,0
我11月21日订的书，连同这本一共定了9本书，到今天为止11天了还没收到货！中途打电话到客服去问，令人恶心得客服卷着舌头以为很好听的“京腔”：“那我也没办法”，都没说跟我查一下，这服务，你早晚要亡！当当：你的客户会越来越少！你等着瞧吧！你接着忽悠吧你！,0
质量没问题，买来到现在十几天了，没什么毛病出现。正版操作系统、正版杀毒软件、正版Office软件，打算不换系统了，就用Vista了，运行还不错。,1
aggerssive 书中却拼成了aggresive 书的正文和背面都有这种错误，请作者和出版商给读者一个合理解释，并纠正此错！这也是商家信誉问题！,0
草草通看了一遍，太一般了，和末流仅相去步武印数多，卖数也多，如此炙手不知何因，虽然出版商外加某某的热炒吹捧实在也不妨碍它成为一本快餐书忝列论注，实为末流,0
同类笔记本中算是配置比较实用的，外观简洁大方，有hdmi高清接口，用cpu-z测试内存为现代ddr2  800,1
缺点：服务员太少，忙的时候能排大队，用餐需要出酒店到外面吃，索性还不如不提供早餐呢，房间狭小，卫生纸供应不充足。优点：交通方便。,0
宝宝一岁两个月买了这套书，他非常喜欢，因为书的内容浅显易懂，最重要的是几乎每一页上都有可以让宝宝翻动折起的地方，小小的马桶盖，五颜六色的泡泡，内容丰富的冰箱...激发宝宝探索的欲望，值得推荐！提醒一点要注意，最好大人拿着书给宝宝讲，同时引导鼓励宝宝翻动书中的活动部分，不要让宝宝自己拿着书自由翻看，否则宝宝自己容易把书中活动的地方撕下来。,1
"斯凯瑞金色童年系列确实不错,已买全4辑.孩子很喜欢,在我强行收起来的那晚还为此哭了一回.画面很丰富,文字相较一般意义上的绘本也多很多,故个人认为适合大宝宝亲子阅读.自家孩子目前刚2岁半.整4辑都留到她再大点拿出来喽.第一辑和第三辑一起到的,给孩子看过,那阵子孩子每天都必看《轱辘轱辘转》，<<忙忙碌碌镇>>,和第三辑全3本.喜欢找金虫子.后来有一天带她去邮局,她说她的书上有的.有时真的不得不佩服孩子们的记忆力!",0
比想象中的轻，，，就华硕变压器一贯来说。。。 驱动似乎没有想象中的难装。。。 总体感觉还好。。。,1
本本刚开始启动时候，风扇声音有点响，到后来就不响了，不知道什么原因,0
珍爱生命远离蒙牛,0
听筒音量太小，户外看不清屏幕．内存太小．不支持存储卡．,0
轻便，电池使用时间长，速度也可以，看码率5M以下的h264，720p视频质量尚可。其他功能不错。,1
性价比很高，不经常玩游戏的朋友可以试试，我月份帮同事买了一个联想的，配置基本一致，花了4500。,1
环境真好，面向大海，幽静，适合休闲度假，可惜只住了一晚。地点较偏，自驾比较方便。酒店用餐太贵，开车出去吃了。,1
外观简洁大方 配置均衡 各种随机软件易用性很强 说明书介绍很清楚,1
开箱即发现USB口一个是坏的，触摸板左键也是坏的，惠普的质量控制体系可以用垃圾来形容。,0
他爹的，么在北京捏时候你还买给我喝？太毒了 妈的。太黑暗了。 蒙牛NULL-1我在北京直接不敢喝蒙牛么 虽然乳制品都被它垄断得了。,0
u100 plus便宜，外观尚可，电池续航时间较长，支持802.11b/g/n和蓝牙2.0，相对其他品牌同价位配置已经相当不错了。,1
"没有大家说得那么好啦.感觉有点太牵强.也不是很容易帮助记忆.我都是学英文得了,也觉得难,更不用说没有学英文得读者了,我想.",0
先买了《不一样的卡梅拉》的前六册给儿子，每天晚上睡觉前都和他躺在被窝儿里读，我们俩都很喜欢。喜欢书上俏皮的图画，喜欢作者丰富的想象力。后来第七册《我要找到朗朗》刚一出，我就赶紧买来和儿子一起分享了。我们热切地期待着《不一样的卡梅拉》的第八册、第九册、第十册.......。因为我们喜欢卡梅拉、皮迪克、卡梅拉多、卡门带给我们的各种各样的、充满想象力的故事。,0
1、纯文字的linux系统，安装windows比较费事，要按F2进入BIOS设置，把一个sata的参数改为IDE否则安装程序不能识别硬盘，不能改回来，好像影响也不大；2、驱动安装不智能,0
期待看到蒙牛！ 都是我们以前耳熟能详的品牌有木有！！,1
1、大床房其实是一个很小的房；2、新装修的房其实一点都不新，看起来挺旧的。补充点评 2008年5月23日 ： 我入住的是新装修的豪华房,0
我的机子现在的状况是收发消息就会常常会死机，然后就是每次死机就会没有信号，需要关机后重启。最烦的的时候要想成功发送消息就要开关机N次！再有，只要打电话就不能查名片夹，这机子的转轴声音也很大，而且有越来越大的趋势,0
此酒店地理位置不错，旁边的太湖广场相对比较热闹，对于爱购物的朋友是个好住处，大院里空气相对较好，不愧为花园酒店，不过房间空间感觉不够，我们住的大床宽度也只有1.5M，总体感觉还是不错。,1
质量不好，用了半年不到屏幕烧了，而且容易破，我的朋友也和我一样屏幕破了，而且修修贵的要命，一共要1000多。,0
热水器已经安装好了，看着很漂亮，希望能耐用,1
绝对的太医医学，这是一本难得的医学书籍，值得我们老百姓认真去阅读，因为这本书的内容是真实的例子，绝对真实。如果你的亲人也是患有类是的恶疾，请对号入座的认真实践。那样会对你的亲人有最大的帮助。那些还再诽谤攻击刘弘章老师的太医医学的人，是别有用心的。我衷心希望我们中国老百姓真正过上幸福快乐的生活，不过，这得要认真阅读太医医学啊。,1
性价比很高啊，3299抢到了，没多久就恢复到原价，很爽。笔记本看来还不错，送货速度也比较快。,1
"垃圾,相当垃圾,1和2好多都是重复的不说,还总是买关子,什么这个的详细内容看第二本的多少页,那个内容看第一本的什么地方.诸如此类的数不胜数.总体感觉就是再变相让你买他的书,手段相当下贱.而且字大行稀........",0
他吗的全是缺点,0
"非常糟糕的服务态度, 隔音非常差 即使是在高层 夜晚有火车声 第二天搬到远洲国际",0
刚买几天就死机好几次，杂牌货就是杂牌货，同胞们千万别买呀,0
本书综合性的向我介绍了马利坦的思想。其实不仅是这位新托玛斯主义哲学家的思想，而且是对整个传统和古典思想的继承与发展。就凭这一点，本书值得一读，而且要细读，因为它的综合概括性很强。所以，依本人的拙见，本书可以作为对西方传统哲学思想的“开胃酒”或者是“饭后甜点”来读更为适宜。祝各位爱智者能从阅读中得到真正的享受。,1
"叶海花,不是绝色美女,用心用情,认真的活,认真的爱,不管不顾,只为了自己的心,而不是其它的杂物!而云峥给了她一个女孩子能得到的最好的爱情,宽容,尊重,宠爱.没有教育和改造,这是一份书中才有的爱情吧!",1
典型的国营酒店，管理层缺乏责任心，管理混乱。房间里的大灯镜灯台灯都是坏的，只有一盏床头灯可用，不知道酒店是怎么维护的。最可气的是结帐时竟然要求客人赔偿房间里已损坏很久的鞋盒，简直是讹诈。,0
广泛看了网上的点评，最后选择了这家酒店，3楼的商务海景标间，景色确实一流，就是隔音效果差了点，原来还准备选海天，实地一看才知道原来是竖着对海，房间都是侧看海。前台听说是协程的客人，有点冷淡。大眼睛的大堂经理确实好！,1
早就听说此书，和朋友聊起来，听说潜规则“从某演员被导演潜规则了开始“。决定买本书拜读。感觉作者被正面的历史熏陶太久，故有发现潜规则的喜悦。读一读鲁迅关于吃人的感慨，再看看柏杨的历史年表，我这样的非专业人士也可以感觉到历史的黑暗。黑暗固然可怕，比它更可怕的是习惯黑暗、向黑暗低头！只要我辈高举德先生赛先生的伟大旗帜，不怕牺牲，心中就会有光明。世界就会有光明！,1
这本书基本是我家的饮食安排和疾病预防指南，不仅用于孩子，大人一样适用。我有全套马悦凌的书，作为照顾孩子来讲，这本书最好。我已经给父母和朋友买了多本马悦凌的书，有时看见脸色不好的孩子，我就忍不住推荐《父母是孩子最好的医生》这本书，希望大家都从中受益。本书最好的理念是改善孩子的体质，这个不是一朝一夕的事情，坚持做，做正确，孩子会逐渐强壮起来。,1
买这本说得时候，有个想法，就是想多了解一些关于中东的故事。慢慢地翻这书，渐渐被里面的情景所感染，有好几次都感觉得到眼泪在眼眶里打转——感动。如果，如果能有多几个像主人翁这样的人，那世界会变得美好些~~如果，如果中国能有人写上这样的书（关于中国的），并且能广泛受到关注的~~~如果~~没有如果，这些情况只能留在想象当中~~~人人都拥有一个慈善之心，只是，大部分都没有充分的“挖掘”出来~~~,1
送的水果很不错，房间1般，没什么特别的，不过早餐很难吃,1
喝了蒙牛就一帆风顺了,1
我感觉不行。。。性价比很差。不知道是银川都这样还是怎么的！,0
 蒙牛只祸害内地人的做事真缺德 转发微博,0
这款手机在使用上非常顺手,1
国庆头一天去住，门市价和携程的价一样，豪华房672元还不包早餐。房间设施挺旧得了，感觉很一般。,0
有些东西不赞同，事后的捷径，不过如此，年青人该经历的还是要去体验，否则拥有后还会抛弃，因为那不是他自己选择过的，所以此书可是说有误导成分,0
"特别是关于她和总监同志的感情线一直脱不了琼瑶的小影子, 太一厢情愿自我感觉甚好了",0
这本读物应当是在少年时期就阅读的，如果那时看了这本书，也许会改变自己对历史的看法，会影响自己未来的走向。我们少年时期接受的大多是正统的历史教材，太多的教条，太多的先进性与局限性的对比，太多阶级斗争的总结。而真实的历史就是作者的观察切入点，一个平凡的人或一件平凡的事，改变了或创造了历史的走向。其实，我们自己的人生何尝不是如此……,1
昨天刚装好，试用了一下，不错，家里都有热水了，值得购买的东东。就是安装费好贵啊。,0
"总有一天,我们会对流逝的时间和消失的往事习以为常.无论和谁,以怎样的方式结束....溺水者怎知道，是哪一滴水要了他的命。。那一天我二十一岁，在我一生的黄金时代。我有好多奢望。我想爱，想吃，还想在一瞬间变成天上半明半暗的云千万人之中，遇到你所遇到的人，于千万年之中，时间的无涯荒野里，没有早一步，也没有晚一不，刚巧赶上了",1
"屏幕很薄很亮 键盘手感不错 风扇很静音 没有传说中的""断网""问题",1
